distance_Km,conso_L100km,duration_H,price_EuroL,dayTime_H,weekDay,yearMonth
15.5,5.6,0.55,1.34,7,1,2
12.4,4.5,0.21666666666666667,1.45,19,7,2
4.5,4.0,0.13333333333333333,1.45,18,7,2
0.4,11.7,0.03333333333333333,1.45,18,7,2
0.5,10.6,0.06666666666666668,1.45,11,7,2
14.8,5.6,0.31666666666666665,1.45,11,7,2
14.2,4.3,0.3,1.45,16,5,2
4.3,5.0,0.16666666666666666,1.45,16,5,2
15.0,5.5,0.38333333333333336,1.45,8,5,2
14.7,4.6,0.36666666666666653,1.45,17,4,2
15.3,5.5,0.4166666666666667,1.45,7,4,2
14.6,4.7,0.3333333333333333,1.45,17,3,2
14.7,7.1,0.3333333333333333,1.45,8,3,2
7.5,5.5,0.25,1.45,7,3,2
2.2,6.2,0.1,1.45,19,2,2
1.6,7.4,0.1,1.45,18,2,2
14.8,4.8,0.4,1.45,17,2,2
15.4,5.4,0.4833333333333333,1.45,7,2,2
1.9,6.5,0.1,1.45,19,1,2
2.0,7.9,0.16666666666666666,1.45,18,1,2
14.4,4.1,0.31666666666666665,1.45,17,1,2
13.6,3.9,0.3,1.45,16,1,2
12.8,4.3,0.36666666666666653,1.45,16,1,2
15.0,4.9,0.38333333333333336,1.45,7,1,2
5.4,4.7,0.15,1.45,11,7,2
6.5,4.9,0.2,1.45,11,7,2
14.3,3.9,0.3333333333333333,1.45,18,6,2
11.4,5.1,0.3333333333333333,1.45,17,6,2
5.1,5.1,0.15,1.45,16,6,2
15.7,4.3,0.35,1.45,11,6,2
16.2,5.4,0.38333333333333336,1.45,10,6,2
16.3,4.2,0.36666666666666653,1.45,21,5,1
5.5,7.0,0.36666666666666653,1.45,17,5,1
14.7,5.0,0.31666666666666665,1.45,8,5,1
5.8,5.5,0.18333333333333326,1.45,19,4,1
6.8,5.4,0.2,1.45,18,4,1
14.6,4.5,0.3333333333333333,1.45,16,4,1
15.4,5.3,0.43333333333333335,1.45,7,4,1
14.5,4.9,0.5,1.45,17,3,1
3.1,6.1,0.18333333333333326,1.45,17,3,1
2.9,6.0,0.13333333333333333,1.45,8,3,1
16.3,5.4,0.5666666666666667,1.45,7,3,1
14.4,4.8,0.45,1.45,16,2,1
15.0,8.6,0.55,1.45,7,2,1
0.7,6.9,0.05,1.45,18,1,1
14.0,4.6,0.4166666666666667,1.45,18,1,1
3.2,6.3,0.2333333333333333,1.45,17,1,1
14.9,5.6,0.4666666666666667,1.45,7,1,1
29.1,3.6,0.55,1.45,12,7,1
36.0,4.6,0.8,1.45,8,7,1
2.2,3.9,0.05,1.45,20,6,1
2.3,4.2,0.06666666666666668,1.45,20,6,1
15.8,4.1,0.3333333333333333,1.45,19,6,1
15.9,4.9,0.35,1.45,17,6,1
9.4,5.0,0.21666666666666667,1.45,11,6,1
8.9,5.2,0.25,1.45,10,6,1
14.6,4.5,0.38333333333333336,1.45,17,5,1
15.0,5.2,0.4,1.45,7,5,1
2.8,6.3,0.11666666666666667,1.45,18,4,1
4.7,4.7,0.16666666666666666,1.45,18,4,1
14.7,4.6,0.36666666666666653,1.45,16,4,1
15.0,5.6,0.6,1.45,8,4,1
13.9,4.6,0.3333333333333333,1.45,17,3,1
3.4,6.6,0.26666666666666666,1.45,16,3,1
15.0,5.7,0.4166666666666667,1.45,8,3,1
14.6,4.6,0.35,1.45,16,2,1
15.0,8.7,0.5,1.45,7,2,1
11.7,4.8,0.3,1.45,18,1,1
7.6,5.2,0.3333333333333333,1.45,17,1,1
3.3,7.2,0.26666666666666666,1.45,17,1,1
14.8,6.1,0.5333333333333333,1.45,7,1,1
9.3,5.4,0.2,1.45,12,7,1
9.4,5.3,0.2333333333333333,1.45,10,7,1
14.3,5.1,0.36666666666666653,1.45,19,6,1
12.5,5.4,0.31666666666666665,1.45,18,6,1
12.5,4.7,0.3333333333333333,1.45,11,6,1
1.3,7.2,0.06666666666666668,1.45,11,6,1
12.6,5.7,0.36666666666666653,1.45,10,6,1
15.3,4.8,0.4,1.45,17,5,1
