Model,DPO4054
Firmware Version,2.15

Point Format,Y
Horizontal Units,S
Horizontal Scale,4e-07
Sample Interval,4e-10
Record Length,10000
Gating,47.4900% to 52.500%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-4.00e-08,-0.43775
-3.96e-08,-0.437547
-3.92e-08,-0.437109
-3.88e-08,-0.437016
-3.84e-08,-0.436938
-3.80e-08,-0.436781
-3.76e-08,-0.436422
-3.72e-08,-0.437
-3.68e-08,-0.43775
-3.64e-08,-0.439312
-3.60e-08,-0.439891
-3.56e-08,-0.440297
-3.52e-08,-0.440359
-3.48e-08,-0.440531
-3.44e-08,-0.440781
-3.40e-08,-0.440516
-3.36e-08,-0.441047
-3.32e-08,-0.4415
-3.28e-08,-0.441891
-3.24e-08,-0.442063
-3.20e-08,-0.442328
-3.16e-08,-0.441641
-3.12e-08,-0.441469
-3.08e-08,-0.441297
-3.04e-08,-0.44025
-3.00e-08,-0.440297
-2.96e-08,-0.440344
-2.92e-08,-0.440812
-2.88e-08,-0.441922
-2.84e-08,-0.442359
-2.80e-08,-0.442266
-2.76e-08,-0.442203
-2.72e-08,-0.441938
-2.68e-08,-0.44125
-2.64e-08,-0.440906
-2.60e-08,-0.441125
-2.56e-08,-0.441281
-2.52e-08,-0.441016
-2.48e-08,-0.440781
-2.44e-08,-0.439484
-2.40e-08,-0.43875
-2.36e-08,-0.438328
-2.32e-08,-0.438563
-2.28e-08,-0.438328
-2.24e-08,-0.438641
-2.20e-08,-0.438594
-2.16e-08,-0.438672
-2.12e-08,-0.438563
-2.08e-08,-0.437906
-2.04e-08,-0.437625
-2.00e-08,-0.438406
-1.96e-08,-0.438641
-1.92e-08,-0.438781
-1.88e-08,-0.439203
-1.84e-08,-0.439
-1.80e-08,-0.439016
-1.76e-08,-0.438406
-1.72e-08,-0.438656
-1.68e-08,-0.438656
-1.64e-08,-0.438125
-1.60e-08,-0.437156
-1.56e-08,-0.436891
-1.52e-08,-0.436734
-1.48e-08,-0.437141
-1.44e-08,-0.437484
-1.40e-08,-0.437891
-1.36e-08,-0.437516
-1.32e-08,-0.437234
-1.28e-08,-0.437219
-1.24e-08,-0.437078
-1.20e-08,-0.437906
-1.16e-08,-0.439234
-1.12e-08,-0.439641
-1.08e-08,-0.440203
-1.04e-08,-0.440547
-1.00e-08,-0.441156
-9.6e-09,-0.441078
-9.2e-09,-0.440594
-8.8e-09,-0.441453
-8.4e-09,-0.441984
-8.0e-09,-0.441938
-7.6e-09,-0.442016
-7.2e-09,-0.442859
-6.8e-09,-0.443406
-6.4e-09,-0.44325
-6.0e-09,-0.442422
-5.6e-09,-0.441594
-5.2e-09,-0.439875
-4.8e-09,-0.437125
-4.4e-09,-0.433688
-4.0e-09,-0.429016
-3.6e-09,-0.423547
-3.2e-09,-0.415297
-2.8e-09,-0.405016
-2.4e-09,-0.394
-2.0e-09,-0.381547
-1.6e-09,-0.367828
-1.2e-09,-0.353469
-8e-10,-0.338844
-4e-10,-0.323813
-3.1e-22,-0.306563
4e-10,-0.289219
8e-10,-0.271109
1.2e-09,-0.251719
1.6e-09,-0.233344
2.0e-09,-0.216188
2.4e-09,-0.199328
2.8e-09,-0.182156
3.2e-09,-0.164875
3.6e-09,-0.148063
4.0e-09,-0.130094
4.4e-09,-0.113203
4.8e-09,-0.0965938
5.2e-09,-0.0809688
5.6e-09,-0.064625
6.0e-09,-0.0494062
6.4e-09,-0.0342969
6.8e-09,-0.0184531
7.2e-09,-0.000109375
7.6e-09,0.0141562
8.0e-09,0.0281719
8.4e-09,0.0415625
8.8e-09,0.0559375
9.2e-09,0.069375
9.6e-09,0.0825313
1.0e-08,0.0949844
1.04e-08,0.106656
1.08e-08,0.118313
1.12e-08,0.130078
1.16e-08,0.14
1.20e-08,0.150781
1.24e-08,0.161062
1.28e-08,0.169187
1.32e-08,0.176063
1.36e-08,0.182438
1.40e-08,0.189062
1.44e-08,0.195531
1.48e-08,0.201844
1.52e-08,0.207469
1.56e-08,0.212719
1.60e-08,0.216734
1.64e-08,0.220203
1.68e-08,0.222469
1.72e-08,0.224516
1.76e-08,0.226328
1.80e-08,0.228187
1.84e-08,0.228547
1.88e-08,0.229141
1.92e-08,0.229016
1.96e-08,0.22875
2.00e-08,0.227875
2.04e-08,0.22625
2.08e-08,0.223312
2.12e-08,0.219594
2.16e-08,0.215953
2.20e-08,0.212562
2.24e-08,0.209656
2.28e-08,0.205859
2.32e-08,0.202875
2.36e-08,0.198203
2.40e-08,0.193688
2.44e-08,0.188891
2.48e-08,0.184094
2.52e-08,0.1795
2.56e-08,0.175063
2.60e-08,0.170781
2.64e-08,0.165641
2.68e-08,0.159688
2.72e-08,0.153797
2.76e-08,0.148094
2.80e-08,0.141141
2.84e-08,0.134391
2.88e-08,0.128984
2.92e-08,0.122844
2.96e-08,0.116641
3.00e-08,0.109
3.04e-08,0.102531
3.08e-08,0.0958594
3.12e-08,0.0887031
3.16e-08,0.0822344
3.20e-08,0.0758281
3.24e-08,0.0700469
3.28e-08,0.0629688
3.32e-08,0.0564375
3.36e-08,0.0500156
3.40e-08,0.0440781
3.44e-08,0.0379687
3.48e-08,0.0310781
3.52e-08,0.0245625
3.56e-08,0.0179219
3.60e-08,0.0120625
3.64e-08,0.0058125
3.68e-08,0.0003125
3.72e-08,-0.00659375
3.76e-08,-0.0146406
3.80e-08,-0.0219531
3.84e-08,-0.0293594
3.88e-08,-0.0363437
3.92e-08,-0.0425156
3.96e-08,-0.0484688
4.00e-08,-0.0534531
4.04e-08,-0.0588906
4.08e-08,-0.0649844
4.12e-08,-0.0708125
4.16e-08,-0.0768281
4.20e-08,-0.0827031
4.24e-08,-0.0872344
4.28e-08,-0.0932969
4.32e-08,-0.0983906
4.36e-08,-0.102891
4.40e-08,-0.107734
4.44e-08,-0.112109
4.48e-08,-0.116047
4.52e-08,-0.120281
4.56e-08,-0.125703
4.60e-08,-0.131562
4.64e-08,-0.136984
4.68e-08,-0.141422
4.72e-08,-0.145344
4.76e-08,-0.149656
4.80e-08,-0.153531
4.84e-08,-0.1575
4.88e-08,-0.161359
4.92e-08,-0.166422
4.96e-08,-0.170391
5.00e-08,-0.174313
5.04e-08,-0.177359
5.08e-08,-0.180297
5.12e-08,-0.183703
5.16e-08,-0.186828
5.20e-08,-0.189953
5.24e-08,-0.194594
5.28e-08,-0.198219
5.32e-08,-0.2025
5.36e-08,-0.205922
5.40e-08,-0.209406
5.44e-08,-0.212469
5.48e-08,-0.216016
5.52e-08,-0.219703
5.56e-08,-0.223188
5.60e-08,-0.227313
5.64e-08,-0.230734
5.68e-08,-0.233766
5.72e-08,-0.236922
5.76e-08,-0.240031
5.80e-08,-0.243453
5.84e-08,-0.246719
5.88e-08,-0.248563
5.92e-08,-0.250984
5.96e-08,-0.253328
6.00e-08,-0.257031
6.04e-08,-0.260063
6.08e-08,-0.263313
6.12e-08,-0.266453
6.16e-08,-0.268781
6.20e-08,-0.271203
6.24e-08,-0.273109
6.28e-08,-0.276
6.32e-08,-0.279094
6.36e-08,-0.282422
6.40e-08,-0.285781
6.44e-08,-0.288438
6.48e-08,-0.290906
6.52e-08,-0.293281
6.56e-08,-0.295672
6.60e-08,-0.297766
6.64e-08,-0.300578
6.68e-08,-0.303141
6.72e-08,-0.30575
6.76e-08,-0.307828
6.80e-08,-0.309844
6.84e-08,-0.311375
6.88e-08,-0.313094
6.92e-08,-0.314625
6.96e-08,-0.316203
7.00e-08,-0.317953
7.04e-08,-0.319516
7.08e-08,-0.322344
7.12e-08,-0.32475
7.16e-08,-0.327188
7.20e-08,-0.328531
7.24e-08,-0.329672
7.28e-08,-0.331484
7.32e-08,-0.332594
7.36e-08,-0.333891
7.40e-08,-0.3365
7.44e-08,-0.337797
7.48e-08,-0.339062
7.52e-08,-0.340094
7.56e-08,-0.341234
7.60e-08,-0.341938
7.64e-08,-0.342438
7.68e-08,-0.344016
7.72e-08,-0.345391
7.76e-08,-0.347016
7.80e-08,-0.349109
7.84e-08,-0.350672
7.88e-08,-0.352094
7.92e-08,-0.352969
7.96e-08,-0.354344
8.00e-08,-0.356
8.04e-08,-0.357891
8.08e-08,-0.359047
8.12e-08,-0.361125
8.16e-08,-0.362187
8.20e-08,-0.363016
8.24e-08,-0.363719
8.28e-08,-0.364922
8.32e-08,-0.366469
8.36e-08,-0.367375
8.40e-08,-0.367766
8.44e-08,-0.368016
8.48e-08,-0.369172
8.52e-08,-0.369656
8.56e-08,-0.370766
8.60e-08,-0.372141
8.64e-08,-0.372594
8.68e-08,-0.373703
8.72e-08,-0.373984
8.76e-08,-0.375078
8.80e-08,-0.377016
8.84e-08,-0.378281
8.88e-08,-0.380359
8.92e-08,-0.381875
8.96e-08,-0.382719
9.00e-08,-0.383266
9.04e-08,-0.384547
