n,predite_f1,exact_f1,predite_f2,exact_f2,predite_f3,exact_f3,predite_f4,exact_f4
100,11.121212121212107,11,26.73543515967756,26,52.229556044064765,50,90.17444014784114,85
200,11.060301507537691,11,26.363829196232462,26,51.097192738775284,50,87.53279541377812,85
300,11.040133779264192,11,26.241697520161978,26,50.7276124906986,50,86.67667918663388,85
400,11.030075187969963,11,26.18095363722596,26,50.54427398324157,50,86.25309883541787,85
500,11.024048096192496,11,26.144609861004508,26,50.43473226830068,50,86.00037054354728,85
600,11.020033388981728,11,26.120423298708943,26,50.361895984315815,50,85.83247367100122,85
700,11.017167381974277,11,26.10316802462556,26,50.30996365000584,50,85.7128347211775,85
800,11.015018773467029,11,26.090237953887925,26,50.27106549112706,50,85.62326231774787,85
900,11.013348164627283,11,26.08018797304122,26,50.24084160640811,50,85.55368766063815,85
1000,11.012012012012004,11,26.072152232312476,26,50.21668153076429,50,85.49808630294146,85
1100,11.010919017288423,11,26.065580339807628,26,50.19692676973225,50,85.45263283364561,85
1200,11.01000834028356,11,26.0601056899652,26,50.18047310781377,50,85.41478142386956,85
1300,11.00923787528862,11,26.055474661920943,26,50.166556909479,50,85.38277209808328,85
1400,11.008577555396577,11,26.05150620707793,26,50.15463321063101,50,85.35534923420681,85
1500,11.00800533689115,11,26.048067624357937,26,50.14430267550786,50,85.33159297717076,85
1600,11.00750469043125,11,26.04505943168831,26,50.13526599846859,50,85.3108140374345,85
1700,11.007062978222741,11,26.042405583591524,26,50.12729442898894,50,85.29248571072297,85
1800,11.006670372429294,11,26.04004695339066,26,50.12021013880968,50,85.27619861047626,85
1900,11.00631911532316,11,26.03793687595288,26,50.11387279916305,50,85.26162972676148,85
2000,11.006003001500705,11,26.03603802901929,26,50.10817019117202,50,85.24852078693254,85
2100,11.005717008098873,11,26.034320206473456,26,50.10301150300451,50,85.2366628112635,85
2200,11.005457025920746,11,26.03275869948721,26,50.09832245766863,50,85.22588488869086,85
2300,11.005219660721465,11,26.031333100363895,26,50.09404171358535,50,85.21604588595933,85
2400,11.005002084201497,11,26.030026405679646,26,50.090118166169766,50,85.20702823308783,85
2500,11.004801920768829,11,26.028824334856697,26,50.086508897863325,50,85.19873320281438,85
2600,11.004617160445973,11,26.027714806105596,26,50.083177601790716,50,85.1910772811641,85
2700,11.004446091144398,11,26.026687528938652,26,50.08009335614365,50,85.18398934580588,85
2800,11.004287245444315,11,26.02573368404223,26,50.07722966148767,50,85.17740844995068,85
2900,11.004139358399781,11,26.02484566944583,26,50.074563677435165,50,85.17128206540303,85
3000,11.00400133377788,11,26.024016897485197,26,50.072075612182545,50,85.1655646775169,85
3100,11.00387221684455,11,26.02324163109962,26,50.06974823030116,50,85.16021665244052,85
3200,11.003751172241474,11,26.02251485083349,26,50.067566452905574,50,85.15520331703442,85
3300,11.003637465898704,11,26.021832146035994,26,50.065517030603786,50,85.1504942063184,85
3400,11.003530450133606,11,26.02118962528281,26,50.06358827419119,50,85.14606244383305,85
3500,11.003429551300675,11,26.020583842147474,26,50.06176983157478,50,85.14188422838936,85
3600,11.003334259516265,11,26.02001173336921,26,50.06005250190199,50,85.13793840646693,85
3700,11.003244120032678,11,26.019470567036226,26,50.058428079850174,50,85.13420611399155,85
3800,11.003158725980414,11,26.018957898967777,26,50.05688922453852,50,85.13067047477992,85
3900,11.003077712233763,11,26.018471535799403,26,50.05542934858549,50,85.12731634538343,85
4000,11.003000750188285,11,26.0180095036273,26,50.05404252388751,50,85.12413009830827,85
4100,11.002927543301706,11,26.017570021212883,26,50.052723401120055,50,85.12109943691338,85
4200,11.002857823290464,11,26.01715147705374,26,50.051467140811575,50,85.1182132368443,85
4300,11.002791346825902,11,26.016752409625703,26,50.05026935400544,50,85.11546140958299,85
4400,11.002727892704664,11,26.01637149032914,26,50.04912605100228,50,85.11283478459927,85
4500,11.002667259390314,11,26.016007508719106,26,50.04803359702183,50,85.11032500731122,85
4600,11.002609262882356,11,26.015659359660486,26,50.046988673547176,50,85.10792445026834,85
4700,11.00255373483642,11,26.01532603211309,26,50.045988244693284,50,85.10562613574402,85
4800,11.002500520941494,11,26.01500659931924,26,50.04502952770938,50,85.10342366799698,85
4900,11.002449479486405,11,26.014700210220663,26,50.04410996717709,50,85.10131117383956,85
5000,11.002400480096583,11,26.01440608185562,26,50.0432272122247,50,85.09928325032506,85
5100,11.002353402626904,11,26.01412349271312,26,50.04237909648831,50,85.09733491862448,85
5200,11.002308136179803,11,26.01385177679879,26,50.0415636203397,50,85.09546158319984,85
5300,11.002264578222054,11,26.013590318398105,26,50.04077893515411,50,85.09365899562393,85
5400,11.002222633819695,11,26.013338547424453,26,50.04002332931903,50,85.09192322238675,85
5500,11.002182214947243,11,26.01309593527705,26,50.03929521579898,50,85.09025061632333,85
5600,11.002143239863758,11,26.012861991116345,26,50.038593120951276,50,85.0886377909263,85
5700,11.002105632568048,11,26.012636258564477,26,50.03791567461469,50,85.08708159752634,85
5800,11.002069322298619,11,26.012418312726197,26,50.037261601178116,50,85.0855791047741,85
5900,11.002034243091959,11,26.01220775752202,26,50.03662971155117,50,85.08412758018463,85
6000,11.002000333386732,11,26.012004223294007,26,50.03601889596299,50,85.08272447356576,85
6100,11.001967535663459,11,26.01180736463817,26,50.03542811746432,50,85.08136740208155,85
6200,11.001935796096094,11,26.011616858414445,26,50.03485640599684,50,85.08005413669832,85
6300,11.001905064297473,11,26.011432402038455,26,50.034302853179966,50,85.07878259003647,85
6400,11.001875293013327,11,26.011253711824015,26,50.03376660739328,50,85.07755080524741,85
6500,11.001846437913942,11,26.011080521556433,26,50.03324686947633,50,85.07635694599098,85
6600,11.001818457340953,11,26.01091258115437,26,50.03274288869369,50,85.07519928726036,85
6700,11.001791312133143,11,26.01074965548031,26,50.03225395918956,50,85.07407620714135,85
6800,11.001764965438898,11,26.010591523232353,26,50.03177941662539,50,85.07298617917483,85
6900,11.001739382520261,11,26.010437975921906,26,50.03131863519083,50,85.07192776542226,85
7000,11.00171453064889,11,26.010288817005904,26,50.03087102486676,50,85.07089961018058,85
7100,11.001690378928394,11,26.010143860993654,26,50.03043602886959,50,85.0699004341608,85
7200,11.001666898180074,11,26.01000293272226,26,50.03001312138276,50,85.06892902920445,85
7300,11.001644060828697,11,26.00986586661239,26,50.029601805387905,50,85.06798425335789,85
7400,11.001621840789676,11,26.00973250605218,26,50.02920161078174,50,85.06706502647873,85
7500,11.001600213364222,11,26.00960270277419,26,50.028812092513824,50,85.0661703260235,85
7600,11.001579155151763,11,26.00947631631928,26,50.02843282896679,50,85.06529918330439,85
7700,11.001558643981502,11,26.00935321353223,26,50.02806342045282,50,85.0644506799963,85
7800,11.001538658803112,11,26.009233268078322,26,50.02770348777175,50,85.06362394487812,85
7900,11.001519179641674,11,26.009116360029246,26,50.027352670944396,50,85.06281815087883,85
8000,11.00150018752663,11,26.009002375455665,26,50.0270106279901,50,85.06203251228695,85
8100,11.001481664401963,11,26.008891206045462,26,50.02667703381745,50,85.06126628222067,85
8200,11.001463593121581,11,26.008782748786146,26,50.026351579211436,50,85.06051875025486,85
8300,11.001445957346748,11,26.008676905619946,26,50.02603396986504,50,85.05978924019809,85
8400,11.001428741516296,11,26.00857358315683,26,50.025723925479234,50,85.05907710812052,85
8500,11.001411930815435,11,26.00847269241981,26,50.02542117896065,50,85.0583817403502,85
8600,11.001395511103643,11,26.00837414855013,26,50.025125475625785,50,85.05770255179497,85
8700,11.001379468904668,11,26.008277870612723,26,50.024836572544494,50,85.05703898431995,85
8800,11.001363791340685,11,26.008183781334708,26,50.02455423778242,50,85.05639050510501,85
8900,11.001348466122002,11,26.008091806921534,26,50.024278249866725,50,85.05575660531322,85
9000,11.001333481498614,11,26.00800187685961,26,50.024008397150126,50,85.05513679874487,85
9100,11.001318826244393,11,26.007913923747264,26,50.02374447733585,50,85.05453062059118,85
9200,11.001304489616219,11,26.007827883092972,26,50.02348629685943,50,85.05393762622292,85
9300,11.001290461337092,11,26.007743693194257,26,50.023233670523986,50,85.05335739016984,85
9400,11.001276731565254,11,26.007661294981364,26,50.02298642102975,50,85.05278950508138,85
9500,11.001263290873236,11,26.00758063185079,26,50.02274437851516,50,85.05223358074234,85
9600,11.001250130224497,11,26.007501649571022,26,50.02250738020203,50,85.0516892432203,85
9700,11.001237240952923,11,26.007424296139607,26,50.02227527003005,50,85.05115613400095,85
9800,11.00122461475528,11,26.007348521694798,26,50.02204789833711,50,85.05063390922527,85
9900,11.00121224366127,11,26.00727427837362,26,50.021825121465625,50,85.050122238907,85
10000,11.001200120012799,11,26.007201520232208,26,50.021606801530965,50,85.04962080629015,85
10100,11.00118823645646,11,26.007130203144722,26,50.02139280611037,50,85.04912930715317,85
10200,11.001176585940357,11,26.007060284725068,26,50.021183007974734,50,85.0486474492154,85
10300,11.001165161667936,11,26.00699172422031,26,50.02097728483196,50,85.04817495155264,85
10400,11.001153957108396,11,26.00692448245353,26,50.020775519102216,50,85.04771154404618,85
10500,11.001142965993912,11,26.00685852174106,26,50.020577597689964,50,85.04725696688091,85
10600,11.001132182281266,11,26.00679380581826,26,50.020383411750124,50,85.04681097004116,85
10700,11.001121600148824,11,26.00673029977746,26,50.02019285652069,50,85.04637331284262,85
10800,11.001111213999193,11,26.00666797000363,26,50.02000583111373,50,85.04594376356549,85
10900,11.001101018439645,11,26.00660678411752,26,50.01982223836663,50,85.0455220989531,85
11000,11.001091008272736,11,26.00654671091972,26,50.01964198462154,50,85.04510810390032,85
11100,11.00108117848376,11,26.006487720320788,26,50.01946497961288,50,85.04470157103567,85
11200,11.001071524240627,11,26.00642978332629,26,50.01929113628864,50,85.04430230039819,85
11300,11.001062040889563,11,26.00637287196076,26,50.01912037069972,50,85.04391009911838,85
11400,11.00105272392119,11,26.00631695921898,26,50.018952601833035,50,85.04352478110154,85
11500,11.001043569006203,11,26.006262019054823,26,50.01878775147214,50,85.0431461667001,85
11600,11.001034571946038,11,26.0062080263066,26,50.01862574414496,50,85.04277408251436,85
11700,11.001025728696433,11,26.006154956681844,26,50.01846650690815,50,85.04240836100557,85
11800,11.001017035342741,11,26.006102786695774,26,50.01830996932685,50,85.04204884036575,85
11900,11.001008488108049,11,26.006051493679106,26,50.01815606333284,50,85.04169536422725,85
12000,11.001000083342245,11,26.00600105569066,26,50.01800472311082,50,85.04134778141999,85
12100,11.000991817507774,11,26.00595145153807,26,50.01785588502124,50,85.0410059457677,85
12200,11.000983687185043,11,26.005902660699505,26,50.01770948752772,50,85.0406697158949,85
12300,11.000975689078208,11,26.005854663351414,26,50.01756547110674,50,85.0403389550642,85
12400,11.0009678199836,11,26.005807440287423,26,50.017423778122065,50,85.04001353087807,85
12500,11.000960076806129,11,26.005760972913926,26,50.01728435277707,50,85.03969331521331,85
12600,11.000952456545372,11,26.005715243254656,26,50.0171471411005,50,85.03937818404982,85
12700,11.000944956294118,11,26.005670233853625,26,50.01701209077282,50,85.03906801720795,85
12800,11.000937573247255,11,26.005625927844022,26,50.016879151120506,50,85.03876269831284,85
12900,11.000930304675837,11,26.005582308866177,26,50.01674827304848,50,85.03846211457773,85
13000,11.000923147935888,11,26.005539361053057,26,50.01661940897878,50,85.03816615670736,85
13100,11.000916100464467,11,26.005497069035147,26,50.01649251276778,50,85.03787471871286,85
13200,11.000909159787996,11,26.005455417914643,26,50.01636753968525,50,85.03758769786704,85
13300,11.000902323480794,11,26.00541439322089,26,50.01624444634262,50,85.03730499445933,85
