N,p_3,p_5,p_10,p_15,p_20,p_25,p_30
1000,0.25050075100125146,0.16716758466833517,0.09141042641109075,0.06300175300044866,0.04812121811501677,0.03896412644905399,0.03276106999017111
1010,0.25049578569878034,0.16716261607205268,0.09140544958030772,0.06299676793523862,0.048116224815494116,0.038959124915373934,0.03275606022252968
1020,0.2504909178984958,0.167157745074452,0.09140057058944319,0.0629918809511802,0.04811132983835063,0.0389542219452931,0.0327511492596981
1030,0.2504861447563893,0.16715296882779185,0.09139578658142407,0.06298708918186871,0.04810653030785041,0.038949414653744824,0.03274633420727938
1040,0.2504814635379951,0.16714828459405245,0.09139109480934574,0.06298238987151492,0.04810182345931986,0.03894470026717145,0.03274161228283244
1050,0.25047687161316645,0.1671436897397018,0.09138649263121273,0.06297778036966006,0.04809720663383723,0.03894007611818874,0.0327369808105109
1060,0.25047236645114807,0.16713918173075812,0.09138197750497766,0.06297325812619121,0.04809267727322435,0.038935539640553525,0.032732437216007146
1070,0.2504679456159249,0.1671347581281304,0.09137754698385918,0.06296882068663703,0.04808823291531998,0.038931088364415146,0.03272797902178138
1080,0.2504636067618302,0.1671304165832175,0.09137319871192073,0.06296446568772551,0.048083871189517034,0.03892671991183155,0.032723603842557146
1090,0.2504593476293952,0.16712615483375062,0.09136893041989315,0.06296019085318733,0.04807958981254622,0.038922431992533896,0.03271930938106628
1100,0.2504551660414257,0.16712197069986226,0.09136473992122567,0.06295599398978863,0.04807538658449075,0.0389182223999227,0.03271509342402698
1110,0.25045105989929106,0.1671178620803684,0.09136062510835104,0.06295187298357895,0.04807125938501716,0.03891408900728176,0.03271095383834064
1120,0.25044702717941225,0.16711382694925023,0.09135658394915103,0.06294782579634081,0.048067206169808925,0.0389100297641957,0.032706888567493354
1130,0.2504430659299363,0.1671098633523227,0.09135261448361016,0.06294385046222843,0.04806322496719006,0.03890604269315862,0.03270289562814954
1140,0.25043917426758683,0.16710596940407893,0.09134871482064597,0.06293994508458378,0.048059313874927165,0.038902125886361945,0.03269897310692572
